words,nltk_sentiment
"['case', 'nothing', 'else', 'think', 'times', 'little', 'stress']",negative
"['twitter', 'campaign', 'people', 'fight', 'stress']",negative
"['grateful', 'health', 'happiness']",positive
"['manage', 'stress', 'anxiety', 'times', 'focus', 'grateful']",negative
"['anxiety', 'amid', 'pandemic', 'anxiety']",negative
"['happiness', 'working', 'family']",positive
"['coming', 'anxiety', 'depression', 'isolation', 'anxious', 'impact']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['recent', 'study', 'found', 'per', 'cent', 'people', 'across', 'anxiety']",negative
"['nothing', 'hide', 'smile', 'smile', 'happiness', 'mask', 'fun', 'isolation']",positive
"['virus', 'kill', 'people', 'depression', 'last', 'longer', 'open', 'busine']",negative
"['stress', 'test', 'crisis', 'could', 'push', 'gross', 'bad']",negative
"['great', 'depression', 'level', 'unemployment', 'rate', 'suffering', 'number', 'per']",negative
"['health', 'anxiety', 'time', 'covid', 'covid', 'trump', 'pandemic']",negative
"['people', 'level', 'mindfulness', 'experience', 'use', 'reduce', 'stress', 'life']",negative
"['pandemic', 'add', 'stress', 'life', 'knowing', 'us', 'put', 'place', 'red']",negative
"['new', 'disguised', 'painful', 'depression']",negative
"['pregnant', 'stressful', 'pandemic']",negative
"['pandemic', 'add', 'stress', 'life', 'knowing', 'us', 'put', 'place', 'red']",negative
"['psychotherapy', 'teletherapy', 'help', 'overcome', 'anxiety', 'stress', 'coping']",negative
"['mind', 'since', 'tropical', 'depression', 'prayer', 'somehow', 'hanna', 'get']",negative
"['covid', 'anxiety', 'directly', 'related', 'job', 'impact', 'would', 'cause', 'company', 'department', 'shut']",negative
"['charge', 'happiness', 'one', 'else', 'motivation', 'motivational']",positive
"['noble', 'deed', 'may', 'blessed', 'happiness', 'prosperity']",positive
"['reduce', 'anxiety', 'access', 'availability', 'quick', 'turnaround']",negative
"['lack', 'lot', 'depression', 'included', 'lost', 'knowing', 'achieve']",negative
"['anxiety', 'working', 'home', 'pandemic', 'work']",negative
"['collide', 'anxiety', 'disproportionate', 'black', 'death', 'toll']",negative
"['even', 'important', 'stressful', 'time']",negative
"['financial', 'working', 'reduce', 'stress', 'due', 'governor']",negative
"['new', 'study', 'syndrome', 'linked', 'stress', 'may', 'rise']",negative
"['coming', 'psychologist', 'high', 'anxiety', 'vital']",positive
"['fed', 'depression']",negative
"['instead', 'leading', 'fight', 'pandemic', 'financial', 'distress', 'china']",negative
"['telling', 'stop', 'watching', 'news', 'program', 'even', 'listening', 'radio', 'becoming', 'stressful']",negative
"['cannot', 'lead', 'anxiety', 'fear', 'stigma']",positive
"['busy', 'working', 'virtual', 'hormone', 'anxiety', 'stress', 'lack', 'energy']",negative
"['many', 'people', 'sadness', 'amid', 'deal']",negative
"['ridge', 'enjoy', 'well', 'break', 'stress', 'strain', 'clearly']",positive
"['many', 'people', 'sadness', 'amid', 'deal']",negative
"['stressful', 'time', 'live', 'lot', 'anxiety', 'depression', 'feeling', 'wishing', 'e']",negative
"['let', 'eat', 'cake', 'nancy', 'pandemic', 'depression']",negative
"['live', 'make', 'money', 'without', 'stress', 'click', 'link', 'crack', 'egg']",positive
"['lot', 'anxiety', 'getting', 'back', 'work', 'today', 'good', 'worked', 'get']",positive
"['twitter', 'campaign', 'people', 'fight', 'stress']",negative
"['stress', 'disproportionately', 'high', 'impact', 'certain', 'minority', 'n']",negative
"['setting', 'great', 'meanwhile', 'great', 'depression']",positive
"['every', 'cold', 'cough', 'sneezing', 'dont', 'stress']",positive
"['facing', 'extraordinary', 'stress', 'find']",negative
"['seven', 'ways', 'effectively', 'cope', 'emotional', 'stress', 'fitness']",positive
"['period', 'stressful', 'find', 'ways', 'expression', 'chil']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['difficult', 'cope', 'fear', 'anxiety', 'daily', 'general', 'sense', 'uncertainty']",negative
"['great', 'handle', 'stress', 'crisis']",negative
"['topic', 'q', 'deal', 'elderly', 'family', 'member', 'manic', 'depressive', 'anxiety', 'disorder']",negative
"['good', 'morning', 'world', 'wish', 'productive', 'week', 'full', 'happiness']",positive
"['free', 'join', 'us', 'tomorrow', 'taking', 'look', 'anxiety', 'depression', 'around']",neutral
"['empathize', 'say', 'would', 'told', 'bout', 'overwhelming', 'anxiety', 'teacher', 'bout', 'ne']",negative
"['trying', 'quell', 'anxiety', 'taking', 'care', 'first', 'known', 'positive', 'covid', 'tomorrow', 'watching', 'video']",positive
"['fly', 'wall', 'health', 'anxiety', 'depression']",negative
"['another', 'trooper', 'suicide', 'say', 'leading', 'depression']",negative
"['consider', 'helpful', 'learn', 'manage', 'stress', 'wellness', 'health']",positive
"['obsessive', 'compulsive', 'disorder', 'added', 'anxiety']",negative
"['slim', 'stress', 'gaining', 'weight', 'shedding', 'program', 'book', 'appointment', 'call']",neutral
"['train', 'mind', 'see', 'good', 'everything', 'positivity', 'choice', 'happiness', 'life']",positive
"['depression', 'may', 'isolate', 'may', 'assume', 'negative', 'approach', 'life']",negative
"['long', 'take', 'get', 'taste', 'back', 'realizing', 'food', 'responsible', 'happiness', 'c']",positive
"['self', 'help', 'people', 'intellectual', 'disability', 'anxiety', 'sleep', 'feeling']",positive
"['pandemic', 'taken', 'toll', 'us', 'past', 'stressful', 'anxious', 'daunting']",negative
"['must', 'read', 'thread', 'cant', 'stress', 'important', 'everyone', 'understand', 'hundred']",positive
"['stress', 'management', 'guide', 'people', 'recognize', 'physical', 'stress', 'headache', 'neck', 'shoulder', 'p']",negative
"['like', 'war', 'medical', 'showing', 'post', 'traumatic', 'stress']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['medical', 'ambulance', 'staff', 'feeling', 'stress']",negative
"['isolation', 'day', 'funny', 'beginning', 'pandemic', 'anxiety']",negative
"['last', 'stressful', 'biggest', 'personal', 'blow', 'far', 'came', 'last', 'week']",negative
"['colleague', 'recruiting', 'young', 'people', 'yo', 'distress', 'due']",negative
"['great', 'sadness', 'report', 'friend', 'secretary', 'health']",positive
"['jake', 'bitch', 'depression']",negative
"['pandemic', 'add', 'stress', 'life', 'knowing', 'us', 'put', 'place', 'red']",negative
"['inescapable', 'already', 'returned', 'cubicle', 'report', 'days', 'full', 'anxiety']",negative
"['live', 'life', 'everything', 'miracle', 'depression', 'anxiety']",negative
"['place', 'chill', 'handle', 'stress', 'anxiety', 'stupid']",negative
"['everyone', 'world', 'stress', 'toilet', 'paper', 'bought']",negative
"['given', 'still', 'stress', 'whether', 'moratorium']",negative
"['work', 'stress', 'anxiety', 'via']",negative
"['fun', 'workout', 'undergo', 'cracking', 'workout', 'whilst', 'relieving', 'stress']",positive
"['fun', 'workout', 'undergo', 'cracking', 'workout', 'whilst', 'relieving', 'stress']",positive
"['fun', 'workout', 'undergo', 'cracking', 'workout', 'whilst', 'relieving', 'stress']",positive
"['emotional', 'freedom', 'anxiety', 'release', 'expert', 'listen', 'marketing']",positive
"['pay', 'day', 'stressful', 'supposed', 'joyful', 'payday']",positive
"['new', 'paper', 'anxiety', 'hate', 'negative', 'pandemic']",negative
"['dont', 'forget', 'register', 'free', 'anxiety', 'depression', 'mental', 'health']",negative
"['hope', 'understand', 'anxiety', 'family', 'kept', 'dark', 'family']",positive
"['sick', 'hearing', 'holiday', 'turmoil', 'grateful', 'alive', 'holiday', 'home', 'stress', 'e']",positive
"['fight', 'pandemic', 'global', 'pandemic', 'already', 'stressful', 'enough', 'dont', 'victim', 'dom']",negative
"['help', 'reduce', 'teenage', 'depression', 'depression', 'shouldnt']",negative
"['pandemic', 'made', 'anxiety', 'body', 'much', 'worse', 'harmless']",negative
"['believe', 'deep', 'depression', 'mental', 'health', 'come', 'wit']",negative
"['medical', 'staff', 'police', 'already', 'depression', 'due', 'loaded', 'work', 'support', 'pandemic']",negative
"['higher', 'risk', 'stress', 'burnout', 'depression', 'amid', 'pandemic', 'study', 'show']",negative
"['happiness', 'birthday']",positive
"['pandemic', 'add', 'stress', 'life', 'knowing', 'us', 'put', 'place', 'red']",negative
"['alcalde', 'de', 'en', 'de', 'twitter', 'deep', 'sadness', 'share']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['stressful', 'take', 'care', 'eat', 'well', 'sleep', 'well', 'think', 'well', 'dont', 'forget', 'work']",positive
"['acute', 'stress', 'glaucoma', 'irreversible', 'yoga', 'care', 'ur', 'family']",negative
"['psychotherapy', 'getting', 'better', 'sleep', 'insomnia', 'anxiety']",positive
"['time', 'emotional', 'human', 'mind', 'must', 'weigh', 'equally', 'distress', 'delight', 'plight']",positive
"['depression', 'post', 'per', 'report', 'community']",negative
"['kindly', 'watch', 'stress']",positive
"['new', 'converting', 'curmudgeon', 'post', 'industry', 'stress', 'test']",negative
"['new', 'comment', 'becker', 'tissue', 'damage', 'oxidative', 'stress']",negative
"['alma', 'mater', 'brief', 'reprieve', 'stress', 'racism', 'medley']",negative
"['need', 'package', 'behavioral', 'health', 'substance', 'use', 'treatment', 'stress']",negative
"['anxiety', 'likely', 'feel', 'men', 'trouble', 'sleeping']",negative
"['theres', 'doubt', 'stress', 'significantly', 'help']",negative
"['award', 'recipient', 'toxic', 'stress', 'experienced', 'racial']",positive
"['jarring', 'day', 'news', 'quarter', 'million', 'new', 'new', 'great', 'depression', 'trump']",positive
"['help', 'prepare', 'potential', 'financial', 'storm', 'stress', 'simulation', 'rea']",neutral
"['us', 'worry', 'stress', 'affected', 'check', 'th']",negative
"['elderly', 'suffer', 'depression', 'many', 'risk', 'suicide', 'another', 'reason', 'widespread']",negative
"['global', 'collaboration', 'traumatic', 'stress', 'recruiting', 'short', 'survey']",negative
"['iceland', 'relieve', 'stress', 'let', 'scream', 'therapy', 'v']",negative
"['helpful', 'tip', 'coping', 'stress', 'response', 'regular', 'exercise', 'take', 'play', 'read', 'book', 'wa']",positive
"['turned', 'upside', 'stress', 'anxiety', 'running', 'high', 'take']",negative
"['opening', 'negative', 'like', 'stress', 'anxiety', 'overwhelm', 'even', 'depressive']",negative
"['pandemic', 'anxiety', 'depression']",negative
"['resilience', 'emotional', 'video', 'series', 'best', 'friend', 'stress', 'reduction', 'w']",positive
"['al', 'hospital', 'may', 'almighty', 'make', 'day', 'happiness']",positive
"['moment', 'empathy', 'may', 'need', 'possible', 'way', 'deal', 'stress', 'animosity', 'empathy']",negative
"['trying', 'understanding', 'please', 'math', 'breathe', 'destress', 'stop', 'raging']",negative
"['may', 'bring', 'happiness', 'pea']",positive
"['bring', 'happiness', 'joy', 'life']",positive
"['white', 'hot', 'rage', 'gut', 'sadness', 'time', 'overnight', 'camp', 'mask']",negative
"['oh', 'boy', 'helping', 'anxiety', 'going', 'back', 'school']",positive
"['patient', 'lad', 'town', 'district', 'suicide', 'due', 'stress']",negative
"['us', 'good', 'nutrition', 'good', 'sleep', 'stress', 'management']",positive
"['stress', 'affect', 'mental', 'health', 'find', 'works', 'help', 'someone', 'trust', 'check']",positive
"['day', 'stretch', 'days', 'stressful', 'week', 'work', 'tired', 'che']",negative
"['pursuit', 'vaccine', 'stress', 'importance', 'large', 'diverse', 'trial']",negative
"['psychotherapy', 'teletherapy', 'help', 'overcome', 'anxiety', 'stress', 'coping']",negative
"['today', 'live', 'manage', 'due', 'stress', 'tu']",negative
"['pregnant', 'worried', 'project', 'rescue', 'reduce', 'stress', 'anxiety', 'learn']",negative
"['stress', 'test', 'industry', 'learned', 'ho']",negative
"['spoken', 'challenge', 'anxiety', 'depression']",negative
"['alert', 'anxiety', 'panic', 'ways', 'dont', 'want']",negative
"['active', 'learn', 'exercise', 'happiness']",positive
"['covid', 'times', 'st', 'physical', 'medicine', 'open', 'help', 'back', 'pain', 'stress']",negative
"['know', 'much', 'financial', 'stress', 'weigh', 'thats', 'weve', 'established', 'free']",positive
"['resilience', 'emotional', 'video', 'series', 'brief', 'mindful', 'breathing', 'anxiety']",neutral
"['know', 'stressful', 'time', 'school', 'district', 'staff', 'covid', 'initiative']",negative
"['taking', 'anti', 'anxiety', 'well', 'tested']",negative
"['many', 'fear', 'anger', 'loss', 'economic', 'anxiety']",negative
"['recent', 'column', 'overview', 'impact', 'mental', 'stress']",negative
"['anxiety', 'looking', 'mid', 'pandemic']",negative
"['impacted', 'many', 'report', 'stress', 'anxiety', 'lived', 'pandemic']",negative
"['tweet', 'contain', 'lead', 'economic', 'depression', 'resurgence', 'something', 'like']",negative
"['weve', 'lucky', 'far', 'come', 'might', 'start', 'getting', 'stressful']",negative
"['recovery', 'battle', 'anxiety', 'paranoia', 'depression']",negative
"['recovery', 'battle', 'anxiety', 'paranoia', 'depression']",negative
"['turning', 'moral', 'distress', 'moral', 'resilience', 'pandemic']",negative
"['spike', 'anxiety', 'communication', 'far', 'greater', 'threat', 'global', 'h']",negative
"['sedentary', 'us', 'president', 'working', 'stress']",negative
"['august', 'start', 'national', 'wellness', 'month', 'everyone', 'lot', 'change', 'stress']",neutral
"['way', 'shop', 'cook', 'interact', 'stressful']",negative
"['stress', 'going', 'reduced', 'take', 'care']",positive
"['hunger', 'stress', 'depression', 'also', 'health', 'many', 'people', 'must', 'die', 'call']",negative
"['stressful', 'times', 'help', 'look', 'listen', 'link', 'calm', 'safe', 'listening']",positive
"['change', 'one', 'biggest', 'stress', 'everyone', 'right']",negative
"['world', 'hope', 'foundation', 'mental', 'health', 'n', 'happiness', 'workshop', 'underprivileged']",positive
"['news', 'taking', 'break', 'anxiety', 'poor', 'sleep', 'anxiety', 'sleep']",negative
"['see', 'snapping', 'distressed', 'people', 'cant', 'afford']",negative
"['see', 'snapping', 'distressed', 'people', 'cant', 'afford', 'russia']",negative
"['see', 'snapping', 'distressed', 'people', 'cant', 'afford', 'russia', 'sold']",negative
"['see', 'snapping', 'distressed', 'people', 'cant', 'afford', 'russia', 'sold']",negative
"['majority', 'people', 'due', 'covid', 'related', 'anxiety', 'complete', 'change']",negative
"['severe', 'stress', 'system', 'remains', 'trouble']",negative
"['mark', 'stress', 'importance', 'wearing', 'mask', 'reduce', 'spread', 'amid']",negative
"['wall', 'street', 'booming', 'economic', 'depression']",negative
"['stressful', 'cope', 'maintain', 'health']",negative
"['anxiety', 'could', 'hit', 'hard', 'psychologist']",negative
"['comes', 'vigilant', 'also', 'remain', 'calm', 'find', 'ways', 'reduce', 'stress', 'anxiety']",negative
"['mask', 'fatigue', 'report', 'anxiety', 'shortness', 'breath']",negative
"['normal', 'feel', 'stress', 'related', 'everyone', 'differently', 'stress', 'ways']",negative
"['breathing', 'inner', 'peace', 'breathing', 'let', 'go', 'stress', 'anxiety', 'practice', 'quick']",neutral
"['pandemic', 'stress', 'mental', 'health', 'protect']",negative
"['expect', 'lots', 'anxiety']",negative
"['right', 'via', 'depression']",negative
"['like', 'said', 'economic', 'distress', 'isolation', 'lack', 'thereof']",negative
"['current', 'pandemic', 'source', 'anxiety', 'family']",negative
"['stress', 'smoking', 'helpful']",neutral
"['enjoy', 'world', 'even', 'sadness', 'music', 'rock', 'cliche']",positive
"['feeling', 'sad', 'depressed', 'stress', 'aging', 'read', 'review', 'new', 'book']",negative
"['perfectionism', 'perfect', 'route', 'depression', 'fitness', 'corona']",positive
"['refuse', 'let', 'take', 'joy', 'happiness', 'away', 'new', 'month', 'new', 'new', 'achieve', 'new', 'attitude', 'new']",positive
"['struggling', 'isolation', 'stress', 'grief', 'dont', 'like', 'talking', 'phone']",negative
"['thread', 'thing', 'one', 'lucky', 'pandemic', 'depression', 'weve', 'rent', 'collected']",negative
"['like', 'plan', 'economics', 'depression']",negative
"['anxiety', 'paranoid', 'irrational', 'fear', 'happen', 'anything', 'see', 'primal', 'f']",negative
"['helpful', 'tip', 'coping', 'stress', 'response', 'regular', 'exercise', 'take', 'play', 'read', 'book', 'wa']",positive
"['fear', 'anxiety', 'brought', 'major', 'like', 'pandemic', 'take', 'toll']",negative
"['like', 'pretend', 'saved', 'great', 'depression', 'theyre', 'going', 'pretend', 'g']",positive
"['recession', 'many', 'expect', 'experience', 'worst', 'recession', 'since', 'great', 'depression', 'th']",negative
"['anxiety', 'peaking', 'potentially', 'first', 'shift', 'back', 'work', 'shielding', 'tomorrow', 'wouldnt', 'mind']",negative
"['right', 'another', 'great', 'depression', 'thank']",positive
"['countless', 'facing', 'extreme', 'distress', 'due', 'current', 'situation', 'fair', 'reduce']",negative
"['needs', 'break', 'badly', 'stress', 'dead', 'infected', 'human']",negative
"['music', 'great', 'healer', 'mood', 'stress', 'tell', 'us', 'favorite', 'help']",positive
"['amidst', 'sadness', 'death', 'brought', 'excitement', 'hope']",negative
"['lengthy', 'discussion', 'career', 'current', 'job', 'market', 'must', 'confess', 'feeling', 'stress', 'van']",negative
"['ways', 'destress', 'reduce', 'anxiety', 'pandemic', 'eat', 'healthy', 'exercise', 'regularly', 'get', 'plenty', 'slee']",positive
"['ways', 'destress', 'reduce', 'anxiety', 'pandemic', 'eat', 'healthy', 'exercise', 'regularly', 'get', 'plenty', 'slee']",positive
"['understand', 'stress', 'financial', 'make', 'voice', 'sho']",negative
"['stress', 'gardening', 'got', 'horticulture', 'experiential', 'learning', 'cleaning', 'rose']",negative
"['raising', 'incredibly', 'stressful', 'daunting', 'undertaking', 'p']",negative
"['ways', 'reduce', 'anxiety', 'getting', 'laid', 'pandemic', 'pandemic', 'anxiety']",negative
"['well', 'new', 'great', 'depression', 'financially', 'mentally', 'physically', 'politically']",positive
"['last', 'day', 'free', 'promotion', 'book', 'finding', 'happiness', 'covid', 'thanks']",positive
"['depression', 'stress', 'rise', 'severe', 'disease', 'find']",negative
"['health', 'depression', 'anxiety']",negative
"['mental', 'distress', 'pandemic', 'among', 'us', 'without', 'condition']",negative
"['people', 'isolation', 'loneliness', 'anxiety', 'future', 'overload', 'working', 'long', 'hour']",negative
"['need', 'relief', 'stress', 'latest', 'check', 'snow', 'cam', 'right']",positive
"['taking', 'elevator', 'anxiety', 'next', 'level', 'tech', 'company', 'solution']",positive
"['lower', 'world', 'cannot', 'stress', 'enough', 'actual', 'saying', 'cant', 'b']",neutral
"['jo', 'department', 'psychology', 'bath', 'university', 'help', 'anxiety', 'sur']",positive
"['unprecedented', 'distressing', 'time', 'many', 'get', 'life', 'long', 'best', 'memory', 'today']",positive
"['delighted', 'finally', 'share', 'paper', 'intolerance', 'uncertainty', 'distress', 'coping']",negative
"['oh', 'god', 'anxiety', 'supposed', 'leader', 'screwed']",negative
"['providing', 'much', 'relief', 'happiness', 'everyone', 'around', 'world', 'number', 'dog']",positive
"['got', 'featured', 'impact', 'magazine', 'dont', 'stress', 'best', 'times']",negative
"['providing', 'much', 'relief', 'happiness', 'everyone', 'around', 'world', 'number', 'dog']",positive
"['anxiety', 'depression', 'role', 'inflammatory', 'clinical', 'angst', 'na']",negative
"['got', 'featured', 'impact', 'magazine', 'dont', 'stress', 'best', 'times']",negative
"['got', 'featured', 'impact', 'magazine', 'dont', 'stress', 'best', 'times']",negative
"['twitter', 'campaign', 'people', 'fight', 'stress']",negative
"['people', 'distress']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['thank', 'hockey', 'back', 'reprieve', 'fear', 'anxiety']",negative
"['congress', 'take', 'action', 'expanded', 'relief', 'distressed', 'business', 'travel', 'industry', 'group']",positive
"['anxiety', 'depression', 'role', 'role', 'inflammatory', 'clinical']",negative
"['loss', 'normal', 'lead', 'anxiety', 'fear', 'worry']",negative
"['hold', 'major', 'depression']",negative
"['stress', 'doesnt', 'manifest', 'way', 'everyone', 'news', 'san', 'featured', 'h']",negative
"['teens', 'dont', 'always', 'know', 'effectively', 'manage', 'anxiety', 'even', 'anger', 'come', 'feeling', 'isolated']",negative
"['stress', 'many', 'already', 'face', 'spoke']",negative
"['quarantine', 'diary', 'handling', 'fear', 'stress', 'sometimes', 'best', 'good', 'e']",positive
"['responder', 'front', 'may', 'working', 'stressful']",negative
"['stressful', 'job', 'world', 'go', 'home', 'already', 'wit']",negative
"['suffering', 'depression']",negative
"['click', 'participate', 'academic', 'research', 'min', 'relationship', 'among', 'stress', 'resilience']",negative
"['take', 'care', 'take', 'care', 'business', 'stress', 'balance']",positive
"['thank', 'making', 'whole', 'pandemic', 'thing', 'less', 'stressful', 'like', 'u']",positive
"['stress', 'anxiety', 'uncertainty', 'leave', 'use', 'disorder', 'vulnerable', 'look']",negative
"['stressful', 'times', 'good', 'sleep', 'important', 'ever', 'boost', 'immune', 'system', 'improve']",positive
"['low', 'grade', 'depression', 'due', 'administration', 'racial', 'injustice']",negative
"['surrounding', 'include', 'anxiousness', 'depression', 'frustration', 'normal', 'c']",negative
"['financial', 'job', 'relationship', 'stress', 'safety', 'talk', 'intimate', 'partner']",neutral
"['remember', 'biggest', 'stress', 'getting', 'real', 'id', 'deadline']",negative
"['think', 'everybody', 'got', 'depression', 'suppose', 'difficult']",negative
"['economic', 'stress', 'pandemic', 'among', 'across']",negative
"['outbreak', 'impact', 'stress', 'epilepsy', 'epilepsy']",negative
"['final', 'speaker', 'today', 'take', 'control', 'immense', 'stress', 'pro']",negative
"['survey', 'impact', 'pandemic', 'stress']",negative
"['people', 'life', 'blinded', 'stress', 'ache']",negative
"['research', 'half', 'experience', 'anxiety', 'insomnia', 'depression', 'compulsive']",negative
"['induced', 'stress', 'anxiety', 'negatively', 'affected', 'yet', 'many', 'mental', 'heal']",negative
"['people', 'mental', 'health', 'substance', 'use', 'anxiety']",negative
"['always', 'important', 'especially', 'face', 'added', 'stress', 'pandemic']",negative
"['recent', 'survey', 'found', 'feeling', 'additional', 'stress', 'specifically']",negative
"['mental', 'health', 'related', 'pandemic', 'especially', 'hard', 'people', 'depression']",negative
"['anxiety', 'depression', 'doubled', 'young', 'people', 'impacted']",negative
"['positive', 'aging', 'suitable', 'age', 'perfect', 'remedy', 'replace', 'anxiety']",positive
"['good', 'quick', 'stress']",neutral
"['suffering', 'depression', 'via']",negative
"['understandable', 'many', 'people', 'may', 'feel', 'depression', 'distress', 'anxiety', 'pandemic', 'jo']",negative
"['across', 'country', 'ways', 'help', 'handle', 'stress']",neutral
"['chain', 'reaction', 'observing', 'financial', 'material', 'hardship', 'parent', 'distress', 'child', 'emotional']",negative
"['youve', 'classic', 'anxiety', 'instead', 'taking', 'final', 'exam']",negative
"['please', 'feel', 'free', 'use', 'share', 'coping', 'stress', 'pandemic', 'though']",positive
"['june', 'said', 'future', 'nation', 'significant', 'source', 'stress', 'highest', 'ever', 'rep']",negative
"['news', 'stress']",negative
"['nearly', 'half', 'say', 'stress', 'level', 'related', 'pandemic', 'high', 'worried', 'impact']",negative
"['depression', 'era', 'unemployment', 'signature']",negative
"['depression', 'era', 'unemployment', 'signature']",negative
"['everyone', 'stress', 'sadness', 'anxiety', 'time', 'time', 'apart', 'life', 'check', 'st']",negative
"['worried', 'thats', 'worry', 'anxiety', 'two', 'actually', 'different', 'w']",negative
"['agricultural', 'life', 'one', 'eminently', 'calculated', 'human', 'happiness', 'human', 'virtue', 'information', 'visit']",positive
"['advice', 'cope', 'stress', 'stress']",negative
"['current', 'world', 'quite', 'stressful', 'worry', 'going', 'rise']",negative
"['spoke', 'depression', 'wake', 'ongoing', 'pandemic', 'movement']",negative
"['reading', 'trigger', 'anxiety', 'us', 'build', 'resilience', 'reading']",negative
"['people', 'anxiety', 'like', 'see', 'told', 'something', 'terrible', 'would', 'happen', 'pandemic']",negative
"['wanting', 'boost', 'incredibly', 'important', 'research', 'racial', 'mental', 'health', 'distress', 'due']",positive
"['follow', 'money', 'financial', 'stress']",negative
"['suffering', 'depression', 'due', 'pandemic', 'hypocrisy']",negative
"['cannot', 'stress', 'enough', 'digital', 'tech', 'powerful', 'way', 'keep', 'growing', 'expanding']",positive
"['looking', 'destress', 'massage', 'follow', 'protect']",positive
"['critical', 'component', 'deliberate', 'continuous', 'improvement', 'unlock', 'happiness', 'c']",positive
"['providing', 'much', 'relief', 'happiness', 'everyone', 'around', 'world', 'number', 'dog']",positive
