text,ground_truth,predicted
like theres dying virus,sad,negative
team novel ai breath analyzer detect examine,happy,negative
experience gear people war need accept pandemic like,sad,negative
proven effectiveness mandate mask wearing public via report,sad,negative
study found effective spy,hope,negative
live news new confirmed rep,sad,positive
still good practice wash wear mask public may tip bu,happy,neutral
oh fake baseball people line ra,sad,negative
kemp spring listen reopen ga fast kemp summer listen reopen fast,sad,negative
optimistic view trajectory crossed indeed seem bit,sad,negative
easing running brief dare say,sad,negative
since since may trump say,happy,negative
oh didnt fail develop national strategy,sad,negative
petition reopen city working,sad,negative
scored winning goal cup final,hope,negative
prevent spread important regularly disinfect commonly touched together c,hope,negative
shocking gold emergency room physician attorney,sad,negative
share upcoming hurry submit,happy,negative
today amount people making attempt wear face covering today,sad,negative
first sero survey found five highly affected city,happy,negative
hong people dislike hong hong china,sad,negative
pandemic exposed gross public distribution system,sad,negative
honor see work prepare new school year comes n,happy,positive
cesspool hazardous start positive,sad,negative
sorry wont anything like going,sad,negative
treat like war soil deploy solder combat make defense line,sad,negative
number daily increasing steep climb average daily,sad,negative
havent yet work supporting health,happy,negative
look bad could visiting people,sad,negative
data simply justify forcing entire nation abide economically disastrous,hope,negative
never flu jab truly id rather tepid bloody hastily,sad,negative
total august active,sad,negative
outlined successful transmission saving use,sad,negative
across us infrastructure spending could learn reposition,hope,negative
economy showing impact made read,sad,negative
host spin see many die today,sad,negative
bin launch global initiative train one million medical staff,sad,negative
looking reconnect network purpose help reconnect,happy,negative
wearing face covering common way people help,sad,negative
media bulletin status positive,sad,negative
thought providing workable us vital,hope,negative
non local positive tun,sad,negative
guard fake patriotism china,sad,negative
continue impact bottom daily important keep mind,sad,negative
whole semester pay full tuition fee amount,hope,negative
baker advised successful billion capital raising firm,happy,negative
send healing energy planet meditation,sad,negative
many new communication b,sad,positive
pandemic focus making money filling treasure,sad,negative
total number death toll,sad,negative
sign immediately impose legislative moratorium rent freeze ill deliver copy,happy,negative
psychological impact five learned research last,sad,negative
dear news paper news channel running malicious campaign,sad,negative
ball cant church looking blowy illegal,sad,negative
doom days song produced meditate,happy,negative
inpatient payment incentive inflate patient,happy,negative
thank holiday sacrifice time need call,happy,negative
nobody candle debt w disastrous labor coaster plan spend savin,sad,negative
want market communicate right way times,sad,negative
morning like every day try fix hair finger drank coffee bed wha,happy,negative
convolutional neural network compute lung disease severity score,sad,negative
assume tip criminal front line everything,sad,negative
let dye hair part year,happy,negative
three dam hub china besides humanitarian horror,sad,negative
meet take help detect potential symptom sa,sad,negative
sluggish response government gain foothold k,sad,negative
top us brazil russia,hope,negative
dont delay pediatric care child especially essential fear,sad,negative
say border closed mean land border still,sad,negative
taking care special needs times,sad,negative
optimistic last two positive coach clubhouse,sad,negative
pandemic pushing develop smart business multiple shopping satisfy,sad,negative
conservative chilling reality continue dismiss ignore h,sad,negative
spread people sick avoid contact pet,sad,negative
get help social security disability claim pandemic,sad,negative
bet thinking smart thing helping prevent,sad,negative
best test one schedule schedule reservation testing today visit,happy,negative
would want face mask design mask covid art abstract design,sad,negative
country twenty times getting number,sad,negative
regional police personnel parade test parade,happy,negative
hurry submit international research journal pharmacy,happy,negative
south may set travel three proposal adopted,happy,negative
pandemic photographer art photography photographer,sad,negative
hopeful valuable resource child autism help,sad,negative
place total per population yet even today trump b,sad,negative
great read impact gold supply chain,sad,negative
breaking one person infected northeast total number ca,sad,negative
classes hefty request reimburse part mess excess cover,sad,negative
enough please please please stop valuable resource aka,sad,negative
government million innovation challenge fund support,hope,negative
risk price pay opportunity action separates best rest today,happy,negative
contrary pandemic closure inequity instead,sad,negative
read death risen eastern cape recording,sad,negative
upsides transmission put headache,sad,negative
thank leadership role behind inclusive bold policy solution would p,sad,negative
visualization number relative population,sad,negative
government media spread great deal information easy understand,sad,negative
mortality rate allow access mortality rate,sad,negative
act integrity learned former,happy,negative
back wear mask please dont oh well still dont get,sad,negative
public transit smart thermal,sad,negative
would good could issue people,sad,neutral
still doesnt get trump pandemic task force source trump latest,sad,negative
foreign trade fall due effects today new report,happy,positive
history family tradition farmer make sell th,happy,negative
cute one wish would seen video sooner,sad,negative
real estate buy pandemic,sad,negative
breaking news spike last tally,sad,negative
spike positive last tally,sad,negative
convenient doesnt wear mask press exemption r,sad,negative
cancel three worth end,sad,negative
model rush issue debt case study debt,sad,negative
keynote speech chronic obstructive pulmonary disease,sad,negative
live international port going,happy,negative
day record high japan,happy,negative
safe play final year attend p,happy,negative
part contain spread state government directed social gather,sad,negative
sell acoustical antibacterial antiviral suitable,happy,negative
tested august tested yesterday,sad,negative
learn canvas kit buy,happy,negative
dey use catfish account take job client e mean say go dey male dey sell white,sad,negative
business impacted cultural industry new culture recovery fund nig,sad,positive
listen telling us simple would,hope,negative
trump sports founder talk stock market rebound information,sad,negative
frequent hand washing best way prevent infection soap water unavailable hand san,happy,negative
friend mine mother please take care home,happy,negative
graph notice got quickly control notice,sad,negative
new york nurse fought front like,sad,positive
honest difficult story incisive intimate usual,sad,negative
welcome back beautiful appreciative staff w,happy,negative
impact read latest research hub,sad,negative
next two crucial regard,sad,negative
trump making goes idea talking,sad,negative
union prepared fight back think done unsafe,sad,negative
anyone else think,sad,negative
every ability cope effects different situation different must,sad,negative
withhold labor show power make government work,happy,negative
success force willing take step work story glory,sad,negative
exactly scorching truth exposed dark capitalist,sad,negative
depend,sad,negative
one million first time,sad,negative
comedy film funny plush quarantine video virus,hope,negative
nearly million work waiting congress pass stimulus bill,sad,negative
breaking news spike last,sad,negative
spy trading time take look,sad,negative
sea fascinating saw tiny low tide yesterday sadly didnt see,sad,negative
face play vital role prevention spread novel virus,happy,negative
policy intense political united mere four,hope,negative
big event world war whatever lear,hope,negative
account support avoid censorship live show please subscribe yo,happy,negative
trump administration typhoid mary,sad,negative
bit brotherly publicity study cardiologist sister please take minute,sad,negative
week eat help scheme finding merchant customer e,happy,negative
business pandemic looking ways get back work remains,sad,negative
head world health organization said hoped pandemic two,sad,negative
summer weekend best summer,happy,negative
thought id update used going forward indefinitely,sad,negative
day coffee mutation super spreader first,happy,negative
pandemic likely lose men unemployment rate wo,sad,negative
thats got productive quarantine hard productive,sad,negative
nights even think call,sad,negative
entire country fact entire world state crisis somehow,sad,negative
keeping distance one three ways show care pandemic join f,sad,negative
chief doesnt see time yet via,sad,negative
take one step keep safe,happy,negative
last waved round world adventure due finish today,sad,negative
lack food quality disease progression lack,sad,negative
increasing prison yet progress safe home confinement meanwhile unequal,happy,negative
cross yesterday considering current times live id compliment,sad,negative
affected covid main neet stude,sad,negative
work dont one box powered,sad,negative
preprint featured community page read,sad,negative
day quarantine round duty,happy,negative
day rolling per population de,happy,negative
accelerated digital laying ground tech media industry experience,happy,negative
thats admission probably truth well ever hear,sad,negative
looking wave focus national,happy,negative
helping people travel world covid era travel,sad,negative
heartening people importance present,sad,negative
ons national infection survey community testing private,sad,negative
made landfall lack plan several nonessential,happy,negative
find video consulting service discuss receive support,hope,negative
anyone think another time action deliberately forced recession upon people cant,sad,negative
hand hygiene important fight provide hand,happy,negative
powerful article must pivot education support young people,sad,negative
usual instruction chant taking seriously whats,sad,negative
make late dash beat quarantine deadline,happy,negative
interesting outbreak investigation overnight summer camp tested p,happy,negative
yes one right mind would recommend smoking tho smoking people,sad,negative
defence strategy deadly storm trigger,hope,negative
august sore throat body self,happy,negative
would think days hell hole diner got gyro take away would well,sad,negative
benefit testing non symptomatic people travel history contact,sad,negative
absolutely glorious feed still wanting,sad,negative
notified today associated,happy,negative
six unlawful assembly black matter rally,sad,negative
poll number collapse response,sad,negative
well quit choking maybe get enough oxygen brain hence,hope,negative
good hear garden found good moment respite small,sad,neutral
help stopping spreading,happy,negative
video mask voter couple san park proving mask sham,hope,negative
way experience care remains asymptomatic,sad,negative
check gig research write topic,happy,negative
invite join challenge together,hope,negative
really blessed give difficult times thank involved,sad,negative
seen outside pub another example irresponsible landlord selfish stupid,sad,negative
great read like deserve public fund,sad,negative
league given seeing maybe cancel se,sad,negative
dont want open heart surgery filled chest cough u,sad,negative
give sh people country remorse selfish pathetic,sad,negative
create business rebound strategi,sad,negative
shown vulnerable little support protection,happy,negative
ignorance even amongst expert health care appalling weve time get right,sad,negative
food business taken outsize hit closed many,sad,negative
according people due virus last small ut like,sad,negative
love cheered statue debate,happy,positive
fear productive informed take sensible try patient,sad,negative
still different flu past f,sad,negative
run ability pay rent fill simply live basic life,happy,negative
former admitted army hospital critical underwent,sad,negative
think day hold,happy,negative
somebody verify sa currently,sad,negative
passing house seen,sad,negative
find difficult fact surgery feel life,sad,negative
classes hefty request reimburse part mess excess cover,sad,negative
single day single day number total,happy,negative
alert political drawn global pandemic news,sad,negative
free community testing centennial park parr ne,happy,negative
high school soccer smoke,hope,negative
wish could fire trump causing counting due deliberate,sad,negative
appreciate outpouring support around state country going beat,sad,negative
covid got get relief covid corona,hope,negative
gift today daily level worked well short trade,sad,negative
tell trump immediately drop character assassination voice truth white house,sad,negative
pray school may affected,happy,negative
refusing tug forelock interview emperor utterly,hope,negative
yes official presidential account please explain v,happy,negative
moving ode local look listen take care keep safe,happy,negative
buyer exhibit live virtual event,happy,negative
new tally death toll,sad,positive
backed previous government brought though,sad,negative
skip end given article go must one give sh,sad,negative
latest survey company accelerated especially around,happy,negative
anyone thinking getting contract family member dont customer,sad,negative
government clear could added quarantine list time go,sad,negative
insightful series deep dive,hope,negative
number risen active registration,sad,negative
important understand narrative russia pushing pandemic raging,sad,negative
every person nine close family affected effects pandemic,sad,negative
wear medical mask safely dos,sad,negative
rely expert care prevent recover malnutrition pandemic cut,sad,negative
contact tracing q health recent college student high,happy,negative
got tested today sore throat feeling well nurse ra asthma positive,sad,negative
district new positive last total tally,happy,positive
tally closer towards mark spike new death toll,sad,positive
new normal education system education,sad,positive
watched pan labyrinth watched shape water god,happy,negative
reality done please dont interrupt treatment g,sad,negative
say granny carry study,sad,negative
afternoon dont provide us within need get u,hope,negative
closed due classes wi,sad,negative
new global site education exchange connect global teaching profession disc,happy,positive
mostly want united government completely erase reset credit score,sad,negative
sermon practical help navigate future effectively covid,hope,negative
propaganda tool da something hide choose b soup,sad,negative
future state country become deadly virus,sad,negative
bend sight someone recently said today successful fight fought,happy,negative
residential building playback legend sealed precautionary,sad,negative
cant report truth lost trust,sad,negative
permanently scaling back massively business,happy,negative
decided keep home due find news,sad,negative
anyone help get new bike please get touch loan,sad,positive
starting expand defence prior pandemic put defense spending,sad,negative
thank cancer society important information public,hope,negative
tweet think us b surviving,happy,negative
update day new far,happy,positive
dont listen health regarding listen president pillow,sad,negative
must broadcast far less experienced ill effects,sad,negative
rather trying estimate extent new economic crisis fixing bo,happy,positive
saying done well globally,hope,negative
repeated lie trump done president truth,sad,negative
disappointed learn local longer shopping one,sad,negative
office department information public,happy,negative
new covid unfortunately continue happen,sad,positive
seen phase huge problem,sad,negative
yes fake real virus,sad,negative
chief minister positive get,hope,negative
bad suspect much higher,sad,negative
want acquire digital period global,sad,negative
educate stop following con,sad,negative
available limited time bargain naughty content get,sad,negative
little local knowledge lake become second home wealthy,happy,negative
know according population census total population people,sad,negative
please help homelessness temporary housing,happy,negative
episode live tomorrow morning,happy,negative
officially recession first time,happy,negative
ladies never going get virus control selfish,hope,negative
know quarantine intended people may exposed,happy,negative
understand customer experience customer experience post world,sad,negative
agriculture face double burden food insecurity resonate,happy,negative
pacific face instability hunger slow road recovery dame,happy,negative
video need tested child showing symptom,hope,negative
dont believe everything read,sad,negative
learning path student training support student undertaking general p,sad,negative
work deadly pandemic run country aid,sad,negative
government develop new model mask people lip read helping slow spread,sad,positive
police collaboration state health national health mission plasma,happy,negative
tell congress fight kill hurt,sad,negative
ill remember today today tone industry,happy,negative
wrote another letter demanding another national shutdown wrote,sad,negative
log date finally cool making enjoyable evening family,sad,negative
medical microbiology infectious disease society smart effective strategy tha,sad,negative
wont world search fast recovery po,sad,negative
highest test positivity rate e,hope,negative
telling us protect protect,hope,negative
deserve accurate accountability funds,hope,negative
recent news vaccine promising worry us needs plan b via,sad,negative
orphan brother recently father sister daughter ne,sad,negative
attention health thank turn l,happy,negative
challenge keep safe encourage post wearing mask,happy,negative
r number risen across may,happy,negative
really gullible stupid take vaccine comes year,hope,negative
insanity vote wisely watch show creepy joe vision,sad,negative
clinical trial vaccine university hospital,hope,negative
must accountable supply people make clothes deserve safe working con,happy,negative
rage woman couple enjoying picnic mace,sad,negative
un secretary trump peace plan part deal,sad,negative
recent statement government compensation fund reduced la,sad,negative
government already unlock going part,sad,negative
eu used track trace across pull test,happy,negative
stimulus package effectively first time eu collectively borrow large sum,happy,negative
new york covid face license suspension news,sad,positive
official update people infected hospital,sad,negative
inspiring inner chef time went making shahi video soon stay tun,hope,negative
behalf request sanitation department carrying th,hope,negative
going due fact worst,sad,negative
positive across last covid positive,hope,negative
total august active,sad,negative
massive fraud mystery election come wi,sad,negative
another critical weekend daily infection rate record high,happy,negative
request please give temporary exemption application citizenship,sad,negative
run like successful business cant even stop,sad,negative
checkup new covid since banner,happy,positive
open tomorrow adherence strong reminder social dis,sad,negative
covid tally cross mark highest spike la,hope,negative
photo mall door closed sign story,sad,negative
minding dont panic get infected remember,hope,negative
immune system respond immunity major weapon,sad,negative
great article biggest fraud ever part vaccine swindle,hope,negative
world fixate pandemic stayed cautious surround,sad,negative
business listening needs living hearing loss,sad,negative
bankruptcy hug share latest inde,happy,negative
today minister public health new ward hospital built,happy,positive
breakthrough vaccine certain western media combat,hope,negative
r u going hold trump accountable never,sad,negative
chief commissioner concerned health safe,happy,negative
help slow spread identify risk sooner daily even,sad,negative
anyone modicum common sense diamond princess japan knew,sad,negative
new taking overall tally,happy,positive
return work bonus people working whole thing hazard pay,sad,negative
thoracic higher risk death,sad,negative
canada best today,happy,negative
covid outbreak strengthen across country,sad,negative
update chief medical defend plan aged care,sad,negative
losing control currently surpass china death,sad,negative
call realize serious thing,sad,negative
always find way whinge bin everyone else bowed,happy,negative
brilliant million battle pandemic alarming increasing,sad,negative
case fatality rate fallen august average,happy,negative
need know going wedding dress shopping covid,sad,negative
log digitally quickly simply scanning code searching guest,hope,negative
free oxygen cylinder covid read,sad,negative
let say id parent student week campus told,happy,negative
radio radio stay safe love listen,happy,positive
truth one traveling wait get foreign country,sad,negative
nearly human taken real actual human,sad,negative
glad see show tonight everyone know contribution,happy,negative
follow epidemiologist professor advice,happy,negative
past brought mixed grief loss thanksgiving resurgence,sad,negative
must help trump administration needs people,sad,negative
highest day day grand cere,happy,negative
people saying virus hoax government break economy,sad,negative
needs thoroughly people dismiss,sad,negative
long realize much people country,sad,negative
police distribute tomorrow raise awareness,hope,negative
broad cast news world feel free send pitch,sad,negative
saliva based test develop could slow spread,hope,negative
went grocery store yesterday amazed see set actual hand,sad,negative
media bulletin status positive,sad,negative
miss stocks portfolio click link,happy,negative
refusing wear mask yet blaming,sad,negative
coming detention latest get,hope,negative
tell us senate pass critical sign,hope,negative
already tested need get soon feel sick,sad,negative
compulsory wear public transport follow world health,sad,negative
full disclosure inside coming,hope,negative
take min listen wonderful segment mary first senior,sad,positive
super heart touching,sad,negative
far today every article term clear,happy,negative
recommend powerful antiviral essential ravensara powerful antiviral frankincense,sad,negative
business continuity plan covid,sad,negative
trump said would go away march may june august entire,happy,negative
global regional local affecting republic amidst,sad,negative
cracking safety arent field wear face,sad,negative
brother took test last said call later differ,sad,negative
still open era call,happy,negative
dont important worry infectious virus st,hope,negative
second vaccine positive update,hope,negative
station due open construction pandemic,sad,negative
could probably cant nice,sad,negative
new pop growth rate new,happy,positive
go playground splash pad bring water take prevent,sad,negative
year brace natural human,sad,negative
immune dysfunction like reactivation reinfection day family reunion w,happy,negative
speaking pearl foundation working,sad,negative
impossible school heart debate,happy,negative
welcoming official ecosystem partner,hope,negative
four rapid response intensify contact tracing,happy,negative
church refusing get tested,hope,negative
hockey five covid positive hockey well,hope,negative
check yet together video,hope,negative
blessed master detention deputy barry lake county office,happy,negative
home space must cease,happy,negative
could please phase human russia,sad,negative
latest several closed due outbreak showing th,sad,negative
help slow spread identify risk sooner daily even,sad,negative
listening news week one said pu,sad,negative
make free within two healthy live without soc,happy,negative
capitalism poverty cancer consumption via,sad,negative
area research helping test vaccine,hope,negative
assembly session open space legislative assembly campus legislator,hope,negative
please explain legally send school amidst pandemic wit,sad,negative
top headline fresh highest single day surge far,happy,negative
seen almost mention study neck thanks,happy,negative
update taken combat spread,sad,negative
study led institute member freedman recruit aiming,sad,negative
trying keep people safe spread church school dont pay attention,sad,negative
let country didnt brother didnt,sad,negative
know exhausted getting due trump traveling,sad,negative
abed unsafe shutdown also opportunity,happy,negative
chaos due inequality great depression era unemployment people lose lose health,sad,negative
technology looking investment well product k,hope,negative
virtual work video network,hope,negative
learned adjust learned growth learned take feedback use,sad,negative
dont despair restricted august money flying,hope,negative
go back work prepared kit perfect many,sad,negative
great martial law thing good luck loser,sad,neutral
tell us senate pass critical sign,hope,negative
surprise time low china,sad,negative
sold sorry red face sold ideal sports dance,sad,negative
new post brazil seeing poverty due emergency aid program,sad,positive
tracker august confirmed active,sad,negative
people work ridiculous strain would b,sad,negative
china hold since outbreak,sad,negative
fear disappointed virtual learning,hope,negative
resist temptation take pandemic pause resist,sad,negative
must read bailey graphics,sad,negative
yes please stop people bare minimum,sad,negative
new quarantine local tested positivity rat,happy,positive
art acceptable reason gather sustaining livelihood business,sad,negative
similarly imagine forced order practice profession,hope,negative
people year candlelight procession,sad,negative
crisis affected water sector learned future uncertain,sad,negative
need plasma ave patient hospital call,happy,negative
death rate per million death rate us p,sad,negative
eastern cape treasury list emergency procurement,sad,negative
change evolution,sad,negative
goal undermine trust public school system seek accept alt,happy,negative
gotten fired job appreciate fact since,sad,negative
directed make available lifesaving injection plasma therapy every,happy,negative
always warm heart bring joy sick,happy,negative
go complete census able cast vote way rocket science,sad,negative
hard hold check trump suffering,sad,negative
clinical management series impact palliative care join moderator,sad,negative
latest orange county,happy,negative
upcoming sec one thats fortunate enough get,sad,negative
experienced worst daily jump positive test hour,happy,negative
arent turning parking lots drive crea,sad,negative
good back agriculture museum many able visit due,sad,neutral
would like learn medication fight,sad,negative
asymptomatic covid care trade fair complex time,sad,negative
scary airport money place test,happy,negative
goodness gracious treating little easier tomorrow,sad,negative
working hard wind infection expect resolute,sad,negative
news first wave salespeople support commercial launch,sad,negative
year amid situation holy mace procession,happy,negative
people think endless fun chatty indoors,sad,negative
receive vaccine free health safety us,hope,negative
brent resident impacted financially personally could eligible,sad,negative
famous college study million join us daily help,hope,negative
unable afford put food,sad,negative
perhaps werent running times wouldnt need,sad,negative
new case confirmed fourteen state,sad,positive
suffering pandemic finally opening come,sad,negative
litigation practice group provide many frequently regarding,sad,negative
outrageous tried drive wedge central government creat,sad,negative
new positive district yesterday suspected sent,sad,positive
trump calling hoax shifting scientific,sad,negative
driving along road listening dan daily presser yo,happy,negative
people dont believe temperature everywhere end year ignorant,sad,negative
doorstop keep open cut need use door church help risk,happy,negative
id campaign petition protest ensure never put type,sad,negative
nice graphics excess globally,sad,negative
week crisis many people working hard help yet also much ha,sad,negative
latest update health department,happy,negative
use zoom safely zoom privacy data,hope,negative
going run hit piece blaming,sad,negative
local law going pass require people wear go across board sho,sad,negative
toll violence one case hospital ha,sad,negative
great session first year medical lots,happy,negative
wild trump telling blind would disappear,sad,negative
long thread bulletin media bulletin high court format st,sad,negative
sandwich supplier outbreak positive privately man,sad,negative
first day back leave desk great,happy,negative
new among earth go days without,sad,positive
check bill video science,hope,negative
covid confirmed care source,sad,negative
comedy film funny video,hope,negative
always ensure proper ventilation home remember clean tables,happy,negative
empower youth virtual career fair,happy,negative
crisis fight risk pandemic everyone,happy,negative
ground youve digging people,sad,negative
think flu killing millions people going holiday anyway,sad,negative
let attitude attract someone physical beauty lifetime asset,sad,negative
corona pandemic fake death,sad,negative
experimental treatment want try proper experiment research,sad,negative
within two days strengthening fight,happy,negative
nova scotia making mandatory indoor public,hope,negative
without mask mandate fell sharply summer,happy,negative
positive covid necessarily mean sickness positive covid necessarily mean,sad,negative
worried business could responsible transmission find ways c,sad,negative
people open air water park music festival original,sad,negative
dont live sure better many,sad,neutral
breaking russia ready world first vaccine daughter,hope,negative
beer know even health keto,sad,negative
employment biggest amount decade,happy,negative
power prevent least prepare us nothing talk,happy,neutral
mayor bill new york city quarantine tuck,happy,positive
yam carnival weekend,happy,negative
higher risk west virus dead test positive ar,sad,negative
one best comes testing eu,sad,negative
top twitter world,sad,negative
youd really stupid believe nonsense unfortunately dying ever,sad,negative
whatever god said believe amid,sad,negative
despite opening business criminal cruel,sad,negative
preferential treatment essential disc code hero get,hope,negative
father son die apart day,happy,negative
read unemployment insurance fund start opening temporary e,sad,negative
misinformation spreading faster public health sound scient,happy,negative
main challenge epidemiology particular translate know,hope,negative
perfect mean cloud amidst,happy,negative
clinical trial indigenously today,happy,negative
need listen people big,sad,negative
alone plight giving birth pandemic find w,sad,negative
mitt currently working hard bankrupt social se,sad,negative
exclusive number hospital fallen since peak pandemic,sad,negative
would please prompt public transport read,sad,negative
new tomorrow sports reporter striking sports b,happy,positive
time equipment one step time,sad,negative
good woman cancer patient viral video,hope,neutral
back resume two week via,happy,negative
independent cinema thrive feedback like great hear open,sad,negative
erection work progress region area warehouse,happy,negative
scorched island us falling apart,hope,negative
public governmental adapt new ways remote working w,happy,positive
confirmed new case new asymptomatic case yesterday midnight yesterday,sad,positive
sunflower challenge going well gave potted sunflower pa,hope,negative
worst thing pandemic hand horrible sticky slimy stuff,sad,negative
getting back post stilly river,happy,negative
total number tested tested yester,sad,negative
japan new setting new daily record along new,happy,positive
alert smart digital series august,happy,negative
south highest jump since march,sad,negative
cruise ship ready travel vacation,sad,negative
opportunity look technology free brought live f,happy,negative
going ignore fact freedom speech country yet told say,sad,negative
delay sending medical team covid house,sad,negative
single fact dangerous asymptomatic transmission,sad,negative
doesnt need capitalism killer,hope,negative
nationwide people usual march according,sad,negative
worker important place address mental health,happy,negative
latest interview handling performance role opposition future,happy,negative
although idea universal ubi around pandemic may create,happy,negative
oh great system dark days,sad,negative
operation warp speed getting sunshine patent treatment,sad,negative
question day market allocation q legal mark within c,happy,negative
help middle class small business continue,sad,negative
physical extra cant get,hope,negative
new last via ministry health family welfare goi,happy,positive
yeah become common knowledge since since unclaimed,sad,negative
cumulative total confirmed south new,happy,positive
almost per cent asymptomatic commissioner,happy,negative
open coming days secretary china virus spread,sad,negative
nothing cant heal find help find rid good,hope,neutral
special vote thanks clinical staff patient satisfaction,happy,negative
national commission troubling lack transparency,happy,negative
several play rise young people young old need,sad,negative
would like thank ongoing support recent update th,hope,negative
wedding affected please consider spending,sad,negative
impending constituent pa,hope,negative
many working remotely provide handy overview use,sad,negative
put danger every bubble fool ignorant immature,hope,negative
guess get money aka,hope,negative
dealing change difficult especially times handle psychopath,sad,negative
people crossing border south example satura,sad,negative
ignore millions threat eviction line,hope,negative
absolute scum every person wedding covid treatment,sad,negative
current count state today newly tested posit,happy,negative
provided positive serum internal development quality con,happy,negative
comprehensive health insurance policy u ur family case hospitalization reach us,happy,negative
type diabetes unhealthy coping early life stress stress,happy,negative
pandemic still control de,sad,negative
permission slip rowdy j carl,happy,negative
latest scoop project helping get hygiene confederate n,hope,negative
wear capes play role research,hope,negative
urgently plasma lady covid patient admitted ward bed,hope,negative
together make way times,sad,negative
recovery rate case fatality count sharp dip,sad,negative
increasing reason many people outside,sad,negative
twin august,happy,negative
talking people think point utter cretin,sad,negative
deserve lots remain favorite punter,happy,negative
outbreak temple sealed people priest positive ahead,sad,negative
bot result latest positive active,sad,negative
put halt economy well globally especially education sector sector th,hope,negative
climate screwed take decline,sad,negative
daily number associated number additional,sad,negative
research global health calling rest,sad,negative
go church today still afraid corona,sad,negative
top phase clinical trial vaccine let us h,hope,negative
outbreak sick take via,sad,negative
covid tally cross mark highest spike last,hope,negative
looking like days five pandemic spent day,happy,negative
rewind better governance job stimulus via,hope,negative
status international us travel mask read,happy,negative
may annoying eye getting bring mask,happy,negative
outdoor dining saving cold come,sad,negative
president took seriously raised,sad,negative
show could die next three total,sad,negative
economic taking respond key taken listed,sad,negative
could workday disappear thats among examine look future may ho,happy,negative
china human animal another human china,sad,negative
curfew weekend wake outbreak,happy,negative
democracy nothing new apartheid,happy,neutral
assess global risk level high said latest statement,sad,negative
drinking bleach also stopped correct context cant stop,sad,negative
come news report much,sad,negative
let us continue vigilant maintain social wash regularly w,hope,negative
bot result latest urban positive active recover,sad,negative
movie loud cant blame loud,sad,negative
must urge particularly younger give fatigue younger age,sad,negative
supporting child learning home parent,happy,negative
enemy within infiltration treason insurgency covid china,hope,negative
stimulus needs support local working need,sad,negative
wait becomes nationwide plan tell,sad,negative
cant ignore adolescent response read full,sad,negative
immigration bureau headquarters closed staff contract,sad,negative
raised new us group consumer,happy,positive
must come harmony nature education wisdom nature unity humanity,sad,negative
yesterday president presidential order award four outstanding contribution,sad,negative
petition name ignorant covid conspiracy party short,hope,negative
scam alert contact tracer wouldnt say,sad,negative
really like heavy duty grocery shopping easy clean inside tuff viking,sad,negative
found good morning easy,happy,neutral
higher red blue per mortality,sad,negative
restrictive due pandemic profoundly already vulnerable,sad,negative
view city arrest every day people infected,sad,negative
nobody following new lead complete,happy,positive
