words,user_location
"['happy', 'pick', 'morning', 'yo', 'nep']","Illinois, USA"
"['morning', 'happy', 'another', 'debacle', 'show']",La Creuse
"['happy', 'story', 'patient', 'hospital', 'stay']",
"['happy', 'water', 'man', 'police', 'enforce']",East Midlands
"['happy', 'holiday', 'everyone', 'bangkok']",Bangkok
"['happy', 'announce', 'colleague', 'tested', 'negative']","Panaji, India"
"['happy', 'announce', 'colleague', 'tested', 'negative']","Goa, India"
"['music', 'anyone', 'thanks', 'happy', 'summer']","Toronto, Ontario Canada"
"['happy', 'anniversary', 'response', 'part', 'effort']","Dhaka, Bangladesh"
"['happy', 'share', 'till', 'wish', 'go']",
"['happy', 'work', 'home', 'wash']","Huntsville, AL"
"['happy', 'national', 'cheesecake', 'day', 'summer']","Michigan, USA"
"['happy', 'ill', 'week', 'friend', 'latest']",The Wild West
"['ill', 'happy', 'dance', 'inside', 'safe']",Atlanta
"['happy', 'el', 'may', 'almighty', 'answer']","Abeokuta, Nigeria"
"['happy', 'follow', 'link']",
"['like', 'make', 'happy', 'back', 'twitter']","London, Ontario"
"['happy', 'birthday', 'stay', 'safe', 'healthy']","North Carolina, USA"
"['happy', 'take', 'part', 'interesting', 'discussion']",
"['dont', 'eat', 'spaghetti', 'happy', 'food']","कानपुर, भारत"
"['happy', 'introduce', 'new', 'range', 'corporate']",Vadodara
"['serve', 'providing', 'need', 'combat', 'happy']",
"['happy', 'hear', 'participate', 'vaccine']","Nashville, TN"
"['workout', 'comfortable', 'time', 'happy', 'yoga']",
"['football', 'back', 'happy', 'green', 'light']","The Media Mill, Milpark "
"['nationwide', 'gathering', 'happy', 'note', 'million']","Texas, USA"
"['whole', 'lot', 'upsides', 'happy', 'cycling']",Australia
"['happy', 'beat', 'nice', 'improvement', 'today']",Singapore
"['happy', 'hear', 'success', 'beating', 'obvious']",Chicago
"['made', 'weaver', 'happy', 'episode', 'quarantine']","Seattle, WA"
"['another', 'happy', 'client', 'contact']","Nairobi, Kenya"
"['happy', 'international', 'youth', 'day', 'storm']","Lagos, Nigeria "
"['happy', 'international', 'comes', 'pressing']",Eastern Europe & Central Asia
"['happy', 'celebrate', 'safely', 'taking', 'rag']","Ahmadabad City, India"
"['happy', 'independence', 'day', 'covid', 'sketch']",
"['also', 'happy', 'birthday', 'life', 'legacy']",NYC
"['happy', 'dont', 'forget', 'check', 'exciting']","nairobi,Kenya"
"['posted', 'due', 'happy', 'back', 'love']","Sixpenny Handley, England"
"['thinking', 'open', 'happy', 'receive', 'discuss']","Burwell, Cambridge UK"
"['happy', 'news', 'treatment', 'medical', 'college']",NEW DELHI
"['quarantine', 'people', 'coming', 'happy', 'though']",Brussels
"['happy', 'risk', 'catching', 'tenet']","England, United Kingdom"
"['happy', 'lord', 'sure', 'give', 'u']",Pune
"['happy', 'la', 'translation', 'team', 'fight']","Preet Vihar, New Delhi"
"['happy', 'keep', 'life', 'pandemic']",England
"['wishing', 'everyone', 'happy', 'healthy', 'team']","Pune, India"
"['woke', 'wanting', 'happy', 'empty', 'water']",
"['family', 'happy', 'join', 'family', 'know']","Bengaluru South, India"
"['wishing', 'everyone', 'happy', 'stay', 'safe']","ठाणे, भारत"
"['wishing', 'everyone', 'happy', 'safe']","Goa, India"
"['may', 'shree', 'family', 'forever', 'happy']","Hyderabad, India"
"['wishing', 'everyone', 'happy']","Sriganganagar,Rajasthan, India"
"['happy', 'healthy', 'spatially', 'distant', 'weekend']","Chicago, IL & Indianapolis, IN"
"['may', 'lord', 'bless', 'success', 'happy']",
"['call', 'video', 'broke', 'happy', 'happy']",Brooklyn NY
"['happy', 'represent', 'lack', 'integrity', 'flouting']",
"['happy', 'long', 'term', 'health', 'p']",
"['oh', 'yes', 'sure', 'perfectly', 'happy', 'distress']",UK
"['strange', 'people', 'refuse', 'wear', 'happy', 'wear']",
"['happy', 'get', 'back', 'work', 'amid', 'pandemic']","Dubai, UAE"
"['foot', 'health', 'healthy', 'happy', 'help', 'need']",United States
"['happy', 'tonight', 'cant', 'even', 'work', 'days']","Florida, USA"
"['art', 'journal', 'make', 'heart', 'happy']",Colorado
"['happy', 'tweeter', 'kiki', 'united', 'fan', 'luke']","Lagos, Nigeria"
"['chef', 'happy', 'please', 'stay', 'safe']",Nairobi
"['happy', 'much', 'work', 'coming', 'locked', 'days']","Jajpur, India"
"['happy', 'announce', 'registration', 'open', 'keynote']",Louvain-la-Neuve & Europe
"['stay', 'happy', 'stay', 'safe', 'stay', 'alert']",CHANDIGARHINDIA
"['happy', 'birthday', 'today', 'whole', 'fight']",
"['happy', 'see', 'met', 'today', 'wore', 'well']","Pittsburgh, PA"
"['happy', 'thought', 'today', 'watching', 'remember', 'movie']","Los Angeles, CA"
"['happy', 'contribute', 'issue', 'significant', 'contribution', 'clinical']","Dublin, Ireland"
"['today', 'chump', 'happy', 'rage', 'since', 'would']",
"['wish', 'happy', 'healthy', 'safe', 'may', 'enjoy']",Guwahati
"['wish', 'happy', 'healthy', 'safe', 'may', 'enjoy']",potts point
"['bolivia', 'happy', 'receive', 'help', 'country', 'recover']",Latin America
"['world', 'happy', 'summer', 'toffee']",North America 
"['good', 'evening', 'twitter', 'wishing', 'happy', 'help']","Lagos, Nigeria"
"['happy', 'part', 'community', 'spread', 'hopefully', 'keep']","Toronto, Ontario"
"['wishing', 'happy', 'team', 'cleansing']",
"['happy', 'news', 'nurse', 'case', 'manager', 'days']",
"['wish', 'happy', 'healthy', 'safe', 'may', 'enjoy']","Gazipur, Dacca, Bangladesh "
"['happy', 'life', 'every', 'day', 'day', 'humankind']",
"['close', 'booze', 'social', 'responsibility', 'make', 'happy']",Cheshire East
"['plenty', 'would', 'perfectly', 'happy', 'asymptomatic', 'forever']",Tucson
"['happy', 'child', 'idle', 'home', 'pandemic', 'visit']",Kaduna
"['happy', 'crisis', 'medical', 'treatment', 'answer', 'poll']",new delhi
"['happy', 'new', 'membership', 'hopefully', 'strengthen', 'ca']",
"['relationship', 'loyalty', 'experience', 'nationality', 'happy', 'mar']",eastbourne uk
"['theres', 'good', 'idea', 'good', 'happy', 'kind']","San Jose, CA"
"['happy', 'share', 'research', 'effort', 'identify', 'impact']",Singapore
"['happy', 'part', 'campaign', 'stigma', 'discrimination', 'time']",Mumbai
"['antiviral', 'made', 'textile', 'happy', 'share', 'victory']","Bursa,Turkey"
"['point', 'id', 'happy', 'wrong', 'initial', 'stance']",
"['back', 'pool', 'happy', 'restart', 'challenge', 'cos']",
"['finally', 'negative', 'happy', 'able', 'go', 'home']","Mumbai, Maharashtra"
"['happy', 'note', 'health', 'offering', 'free', 'p']","Kampala, Uganda (tonykaburu@yahoo.com)"
"['also', 'check', 'pandemic', 'much', 'happy', 'reading']",Dubai
"['happy', 'around', 'world', 'indigenous', 'tribal', 'live']",UK
"['thing', 'rate', 'dont', 'know', 'happy', 'vice']","Gurgaon, India"
"['happy', 'sacrifice', 'part', 'disastrous', 'response', 'pu']",
"['happy', 'know', 'follow', 'back', 'like', 'post']","Delta, OH"
"['hey', 'quite', 'happy', 'pertaining', 'solely', 'help']",I'm not telling
"['happy', 'see', 'actually', 'spelt', 'correctly', 'wow']",
"['happy', 'face', 'mask', 'shop', 'support', 'basketball']",Leicester
"['happy', 'connect', 'enjoy', 'strong', 'partnership', 'despite']","Paris, France "
"['happy', 'national', 'youth', 'charity', 'constantly', 'young']",
"['thanks', 'game', 'happy', 'thanks', 'boss', 'lightning']",
"['happy', 'many', 'meant', 'school', 'consequently', 'change']",Geneva
"['happy', 'today', 'hosting', 'amazing', 'twitter', 'chat']",Africa
"['happy', 'pandemic', 'severe', 'economic', 'social', 'around']","Johannesburg, South Africa"
"['wonder', 'happy', 'officially', 'recession', 'strategy', 'throwing']",
"['thanks', 'game', 'happy', 'thanks', 'boss', 'lightning']",
"['extend', 'happy', 'everyone', 'may', 'joyous', 'may']",
"['happy', 'see', 'land', 'blessed', 'tourism', 'pandemic']",Zanzibar 
"['happy', 'recession', 'day', 'get', 'used', 'recession']",Lancashire
"['happy', 'announce', 'tech', 'smart', 'academy', 'various']",India
"['thanks', 'game', 'happy', 'thanks', 'boss', 'lightning']",
"['new', 'happy', 'keep', 'life', 'pandemic']",England
"['wish', 'happy', 'need', 'take', 'protect']",Pakistan
"['celebrate', 'happy', 'strategy', 'win', 'make', 'free']","Herndon, VA USA & Hyderabad In"
"['happy', 'graphic', 'designer', 'abigail', 'say', 'c']","Seattle, WA"
"['new', 'happy', 'keep', 'life', 'pandemic']",England
"['happy', 'blessed', 'stay', 'positive', 'test', 'negative']",
"['cant', 'get', 'together', 'class', 'pretty', 'happy']","Auckland Central, Auckland"
"['happy', 'increase', 'panic', 'call', 'psychotherapist', 'ear']",Lagos.Nigeria
"['happy', 'independence', 'day', 'china', 'pandemic', 'mani']",
"['happy', 'decline', 'mortality', 'rate', 'video', 'link']","Bengaluru, INDIA"
"['difference', 'level', 'economy', 'much', 'happy', 'coz']","Pretoria, South Africa Erasmia"
"['much', 'shade', 'love', 'happy', 'boy']",We are everywhere
"['make', 'decision', 'best', 'version', 'happy', 'sabbath']","Johannesburg, South Africa"
"['happy', 'everyone', 'current', 'pandemic', 'wearing', 'protect']","The Dear Green Place, Scotland"
"['works', 'might', 'get', 'approval', 'happy', 'trading']",Gates of Hell
"['follow', 'market', 'regularly', 'wishing', 'happy', 'safe']","Surat, Gujarat."
"['team', 'sri', 'would', 'like', 'wish', 'happy']",India
"['social', 'distance', 'new', 'happy', 'hour', 'nature']",
"['happy', 'national', 'independence', 'day', 'everyone', 'especially']",Malaysia
"['pace', 'would', 'mean', 'us', 'happy', 'everyone']","Peoria, AZ"
"['happy', 'one', 'year', 'anniversary', 'fantastic', 'dear', 'see']",Amsterdam
"['happy', 'stepping', 'something', 'important', 'certainly', 'wear', 'mask']",
"['still', 'happy', 'price', 'target', 'earnings', 'early', 'august']",Trifecta 🇿🇼🇿🇦🇺🇸
"['morning', 'happy', 'weekend', 'big', 'fixed', 'l', 'bought']",
"['morning', 'happy', 'weekend', 'big', 'fixed', 'l', 'bought']",
"['want', 'live', 'happy', 'successful', 'life', 'tie', 'people']",
"['day', 'neither', 'wealth', 'benefit', 'happy', 'comes', 'wi']",Here or There
"['trying', 'times', 'comforting', 'adequate', 'protection', 'happy', 'answer']","Los Angeles, CA"
"['happy', 'thought', 'today', 'stopping', 'way', 'back', 'san']","Los Angeles, CA"
"['happy', 'day', 'please', 'declare', 'fundamental', 'aim', 'life']",Chennai
"['happy', 'forsake', 'gathering', 'worship', 'home', 'avoid', 'spread']",Global
"['happy', 'celebrate', 'important', 'day', 'please', 'let', 'us']","Monrovia, Liberia"
"['today', 'please', 'wish', 'happy', 'birthday', 'today']","Lagos, Nigeria"
"['poor', 'likely', 'lose', 'home', 'poor', 'people', 'happy']","Louisville, KY"
"['happy', 'birthday', 'belligerent', 'batsman', 'exceptional', 'ref']",
"['b', 'happy', 'vaccine', 'available', 'area', 'popular', 'virus']","Virginia, USA"
"['death', 'doesnt', 'make', 'happy', 'feeling', 'sense', 'karma']",The High Country
"['happy', 'birthday', 'make', 'sure', 'next', 'birthday', 'free']",England
"['happy', 'part', 'effort', 'role', 'treatment', 'crucial', 'role']",Cambridge-Kampala
"['happy', 'connect', 'share', 'directly', 'work', 'supporting', 'food']","Mbale, Uganda"
"['see', 'loopy', 'happy', 'make', 'international', 'happen']",Luton LU2
"['happy', 'finally', 'able', 'share', 'collection', 'relevant', 'crea']","Koblenz, Germany"
"['happy', 'new', 'month', 'loyal', 'intending', 'love', 'celebrate']","Lagos, Nigeria"
"['good', 'day', 'happy', 'people', 'happy', 'celebration', 'celebrate']","Nairobi, Kenya"
"['happy', 'part', 'group', 'fantastic', 'important', 'article', 'helping']","Plano, TX"
"['happy', 'say', 'rent', 'relief', 'program', 'extended', 'jump']","Bronx, NY"
"['thanks', 'sir', 'team', 'making', 'happy', 'hard', 'time']",Union territory of J&K
"['yes', 'people', 'often', 'horrible', 'stupid', 'trigger', 'happy']","Dunedin, Florida"
"['strengthen', 'bond', 'keeping', 'distance', 'team', 'happy', 'safe']","Mumbai, Maharashtra"
"['driving', 'positive', 'change', 'covid', 'happy', 'launch', 'screening']",Global
"['spoke', 'little', 'star', 'happy', 'share', 'fine', 'sure']",
"['away', 'general', 'election', 'happy', 'whats', 'going', 'country']","Santa Cruz, CA"
"['simple', 'find', 'happy', 'follow', 'update', 'safety', 'gadget']","Lagos, Nigeria"
"['reliable', 'power', 'happy', 'business', 'food', 'spare', 'misery']","Toronto, Ontario"
"['make', 'happy', 'despite', 'pandemic', 'regular', 'lap', 'swimming']","Baton Rouge, LA"
"['little', 'dose', 'happy', 'brought', 'fire', 'chief', 'glad']","Xenia, OH"
"['happy', 'birthday', 'may', 'special', 'day', 'bring', 'heart']","Lagos, Nigeria"
"['guarding', 'happy', 'call', 'face', 'mask', 'mask', 'available']",
"['guarding', 'happy', 'call', 'face', 'mask', 'mask', 'available']","Manchester, England"
"['guarding', 'happy', 'call', 'face', 'mask', 'mask', 'available']",Salford Manchester England
"['guarding', 'happy', 'call', 'face', 'mask', 'mask', 'available']",UK
"['happy', 'show', 'love', 'like', 'button']",Nigeria
"['happy', 'know', 'well', 'may', 'almighty', 'shower', 'blessing']","Gujarat, India"
"['happy', 'year', 'grapple', 'global', 'pandemic', 'join', 'us']",KwaZulu-Natal
"['happy', 'know', 'well', 'may', 'almighty', 'shower', 'blessing']",Guwahati
"['happy', 'national', 'day', 'kindness', 'learn', 'health']",
"['happy', 'birthday', 'surely', 'due', 'acting', 'amazing', 'work']",UK
"['first', 'choice', 'everyone', 'happy', 'national', 'book', 'day']",India
"['happy', 'international', 'day', 'indigenous', 'fight', 'spread', 'pandemic']",Worldwide
"['full', 'story', 'told', 'happy', 'experienced', 'early', 'career']","Fresno, CA"
"['happy', 'day', 'theme', 'generation', 'equality', 'equal', 'future']",South Africa
"['happy', 'birthday', 'better', 'half', 'boss', 'celebration', 'times']",Locked-Down
"['happy', 'live', 'paradigm', 'went', 'many', 'came', 'see']","Cohasset, MA"
"['truly', 'happy', 'since', 'easy', 'way', 'stay', 'away']",
"['made', 'pregnancy', 'even', 'stressful', 'need', 'see', 'happy']","Providence, Rhode Island"
"['happy', 'go', 'back', 'work', 'ons', 'disability', 'disabled']",UK
"['happy', 'birthday', 'many', 'many', 'happy', 'day']","Kolkata,India"
"['happy', 'present', 'first', 'learn', 'team']",Geneva
"['rural', 'satisfied', 'taken', 'fight', 'pandemic', 'happy', 'w']",India
"['happy', 'see', 'something', 'goa', 'suppose', 'people', 'highlight']",Land of MileSurMeraTumhara🙏
"['abu', 'facility', 'say', 'happy', 'help', 'speed', 'development']","Umm al-Quwain, UAE"
"['happy', 'international', 'youth', 'day', 'pandemic', 'various', 'yo']",Jl. Salemba Raya No. 6 Jakarta
"['creation', 'projection', 'form', 'already', 'lord', 'happy', 'j']",
"['happy', 'youth', 'along', 'financial', 'inclusion', 'crucial', 'rea']",Global
"['artist', 'dressed', 'lord', 'people', 'passing', 'happy', 'j']","Chandigarh, India"
"['got', 'testing', 'happy', 'say', 'tested', 'negative']",AUSTRALIA VIC
"['happy', 'one', 'five', 'alone', 'affected', 'least', 'one']","Brussels, Belgium"
"['happy', 'pandemic', 'severe', 'economic', 'social', 'around', 'w']","62 Glenwood Rd, Pretoria 0081"
"['happy', 'today', 'behalf', 'adolescent', 'investment', 'plan', 'coalition']",Global
"['happy', 'keep', 'spirit', 'engaging', 'global', 'need']",
"['everyone', 'happy', 'mid', 'week']","Randburg, South Africa"
"['happy', 'youth', 'day', 'young', 'world', 'especially', 'crisis']",Madagascar
"['happy', 'today', 'recognize', 'give', 'thanks', 'young', 'people']",
"['still', 'happy', 'support', 'live', 'first', 'recession', 'since']","London, England"
"['day', 'happy', 'left', 'day', 'tremor', 'left', 'ha']",Kirinyaga
"['happy', 'share', 'work', 'delegation', 'read', 'comment']",
"['happy', 'national', 'day', 'one', 'national']","Sussex, UK"
"['happy', 'birthday', 'independence', 'day', 'people', 'th']","کراچی, پاکستان"
"['day', 'happy', 'day', 'right', 'globally', 'total', 'ca']","Denver, CO"
"['happy', 'independence', 'day', 'best', 'consultant', 'pediatrician', 'baby']","Lahore, Pakistan"
"['test', 'never', 'happy', 'see', 'word', 'negative']",New York
"['happy', 'enjoy', 'auspicious', 'day', 'starvation', 'eviction', 'lack']","Hollywood, CA"
"['un', 'happy', 'suffering', 'holding', 'musical', 'dance', 'death']",
"['people', 'say', 'world', 'yet', 'happy', 'take', 'ground']",
"['happy', 'birthday', 'best', 'thank', 'sir', 'amazing', 'work']","New Delhi, India"
"['find', 'time', 'make', 'happy', 'home', 'prevent', 'spread']","Manila, Philippines"
"['happy', 'new', 'week', 'financially', 'diplomatically', 'protection', 'complementary']","Geneva, Switzerland"
"['thank', 'helping', 'second', 'chance', 'live', 'happy', 'li']",🪐
"['happy', 'beauty', 'celebrated', 'kept', 'us', 'going', 'book']","Treaty 7 Lands, AB"
"['idea', 'premier', 'happy', 'whereas', 'deeply', 'concerned', 'number']","Oakville, Ontario"
"['expect', 'world', 'group', 'via', 'happy', 'welcome', 'ba']",Sea Cadet TS Blk cap Bkenhead
"['quarantine', 'pug', 'love', 'happy', 'cute', 'dog', 'cat']",
"['quarantine', 'pug', 'love', 'happy', 'cute', 'dog', 'cat']",
"['keeping', 'detailed', 'record', 'holiday', 'diary', 'happy', 'mem']","Manchester, & elsewhere, UK"
"['pray', 'keep', 'faith', 'god', 'take', 'away', 'happy']",
"['happy', 'anniversary', 'dad']","Lagos, Nigeria"
"['happy', 'may', 'healthy', 'fight']","Hyderabad, India"
"['happy', 'may', 'god', 'remove', 'life', 'throw', 'away']","Bengaluru South, India"
"['go', 'telegram', 'search', 'steady', 'fixed', 'feel', 'happy']",
"['good', 'morning', 'happy', 'came', 'successful', 'usual', 'c']",Asaba
"['wishing', 'happy', 'may', 'lord', 'us', 'power', 'fight']","Cuttack, Odisha"
"['team', 'digital', 'spire', 'wishing', 'happy', 'contact', 'us']",
"['may', 'arrival', 'bring', 'wave', 'happiness', 'health', 'happy']",India
"['family', 'happy', 'may', 'lord', 'help', 'us', 'overcome']","Pune, India"
"['everyone', 'happy', 'may', 'lord', 'shower', 'peace', 'prosperity']","Bengaluru South, India"
"['week', 'desire', 'keep', 'mommy', 'daddy', 'donor', 'happy']","Oxford, OH"
"['trying', 'find', 'happiness', 'learn', 'happy', 'people', 'detailed']",
"['happy', 'spectacle', 'spectacles']","Nashik, India"
"['pandemic', 'dont', 'mad', 'late', 'happy', 'made', 'pandemic']",
"['trump', 'happy', 'people', 'firm', 'believer', 'karma', 'patience']",Seminole County
"['happy', 'way', 'going', 'yes', 'make', 'voice', 'visit']","Prince George's County, MD"
"['year', 'carbon', 'footprint', 'doubled', 'happy', 'definitely', 'per']",Australia
"['happy', 'part', 'year', 'despite', 'emphasize', 'impact', 'c']",Rabat
"['home', 'havent', 'taken', 'day', 'since', 'happy', 'share', 'experience']","New York, NY"
"['hello', 'happy', 'share', 'new', 'paper', 'impact', 'pandemic', 'market']","Kumasi, Ghana"
"['god', 'bless', 'humanity', 'vaccine', 'soon', 'happy', 'life', 'race']",India
['hope'],NYC
['hope'],"StJohn usvi,Boston,NYC,Jamaica"
['hope'],"Ely, MN"
['hope'],"England, UK"
"['hope', 'three']",#StGeorge~#StatenIsland~#NYC
"['hope', 'strategy']",
"['hope', 'safe']",
"['hope', 'quarantine']","Irvine, Scotland"
"['hope', 'get']",Arizona
"['hope', 'grandmother']",#StGeorge~#StatenIsland~#NYC
"['hope', 'following']",India 
"['hope', 'sequel']",Parent's prayers 
"['hope', 'works']",India
['hope'],Malappuram
"['everyone', 'hope']","England, United Kingdom"
"['hope', 'future']",Cardiff
"['hope', 'poor']","Las Vegas, NV"
"['hope', 'reach']","Gujarat, India"
"['hope', 'hand']","Ocala, FL"
"['hope', 'cope']","New York, NY"
"['never', 'hope', 'fulfill']","Southwark, London, UK"
"['hope', 'still', 'remember']","Lagos, Nigeria"
"['positive', 'hope', 'soon']","New Delhi, India"
"['history', 'hope', 'history']",Worldwide
"['surely', 'hope', 'think']",United States
"['hope', 'fair', 'practice']","Toronto, Ontario"
"['fraudulent', 'data', 'hope']",
"['joke', 'hope', 'nobody']","Chicago, IL"
"['technology', 'ray', 'hope']","Ahmadabad City, India"
"['even', 'hope', 'found']",
"['hope', 'someone', 'notified']",
"['sure', 'hope', 'massive']","Watertown, MA"
"['hope', 'follow', 'dogs']",United States
"['hope', 'dont', 'regret']","ÜT: 43.331675,-79.826053"
"['many', 'hope', 'today']","Vancouver, BC"
"['thank', 'support', 'hope']","Chandler, AZ"
"['hope', 'rep', 'completely']",Twitterville
"['hope', 'reconsider', 'endorsement']",global
"['hope', 'staff', 'fire']",#StGeorge~#StatenIsland~#NYC
"['hope', 'follow', 'lead']",Louisiana
"['social', 'hope', 'infected']","pottstown, pa"
"['sincerely', 'hope', 'wasnt']","Brighton, England"
"['know', 'nothing', 'hope']",Cabuyao Laguna / Tagaytay City
"['posted', 'hope', 'like']","Lagos, Nigeria"
"['hope', 'better', 'year']","Calgary, Alberta"
"['hope', 'following', 'session']","Boston, MA"
"['new', 'hope', 'like']",
"['good', 'hope', 'like']",
"['hope', 'reject', 'vaccine']","Cambridge, UK"
